#{"t_start": 1529023471.2455332, "env_id": "PongNoFrameskip-v4"}
r,l,t
-21.0,758,34.08135
-21.0,758,61.432569
-21.0,763,89.132962
-20.0,985,125.611659
-21.0,775,154.698954
-20.0,839,185.203911
-19.0,1180,229.224354
-21.0,1004,266.202682
-21.0,824,296.702514
-21.0,778,325.88188
-21.0,813,355.904433
-21.0,1154,398.291666
-21.0,786,427.592342
-20.0,1002,464.591677
-21.0,873,496.687528
-20.0,897,529.007212
-19.0,1178,571.392069
-20.0,1057,609.192211
-20.0,1228,653.397758
-20.0,1024,690.691156
-20.0,1328,739.57707
-20.0,1633,798.009221
-15.0,1877,865.989204
-15.0,2069,941.392575
-12.0,2181,1021.898597
3.0,2763,1124.191709
16.0,1925,1192.909199
-3.0,2788,1294.316494
19.0,2048,1369.408249
10.0,2195,1440.847651
20.0,1563,1487.995516
18.0,1684,1540.413426
19.0,1649,1587.916527
20.0,2021,1653.511338
20.0,1564,1709.402389
20.0,1992,1776.381011
19.0,2064,1848.704264
13.0,2656,1945.403362
8.0,2751,2045.911896
17.0,1756,2110.191721
17.0,2242,2192.198909
15.0,2401,2275.975953
21.0,1967,2342.789733
19.0,2042,2410.591291
20.0,2005,2481.210652
17.0,1787,2543.200258
19.0,1691,2598.788856
17.0,1907,2668.48948
19.0,1635,2727.997288
19.0,1747,2791.889404
19.0,1684,2853.025708
20.0,1993,2926.498193
20.0,1622,2976.289729
20.0,2004,3049.786318
18.0,1936,3112.412499
15.0,2143,3190.917664
20.0,1621,3250.31609
19.0,1711,3313.110519
14.0,2583,3407.108287
19.0,1632,3466.487641
19.0,1689,3519.586421
16.0,2310,3589.400401
13.0,3573,3701.505059
19.0,1742,3757.692611
20.0,2003,3820.819028
20.0,1567,3869.819854
20.0,1561,3918.711647
18.0,2117,3985.291117
20.0,2124,4052.498866
21.0,2759,4139.374952
20.0,2794,4227.291401
20.0,2788,4314.190259
20.0,1667,4367.416498
18.0,3005,4476.082242
17.0,2331,4561.481084
20.0,1658,4624.013704
19.0,2855,4730.322004
19.0,2224,4813.390041
20.0,2105,4891.904886
21.0,2035,4968.1076
19.0,2116,5046.614019
18.0,3125,5163.881008
19.0,2892,5272.489247
20.0,2880,5382.632142
19.0,2205,5466.218903
20.0,2909,5576.294187
20.0,2852,5685.482802
20.0,1688,5749.881214
19.0,2057,5828.015586
18.0,2183,5911.693151
18.0,2183,5995.806167
20.0,2067,6075.602454
19.0,2943,6191.114595
15.0,2485,6288.781732
12.0,2831,6399.397797
14.0,2761,6508.105767
4.0,3638,6651.001652
21.0,2818,6761.704504
21.0,1993,6840.190621
19.0,2085,6922.312928
18.0,2233,7010.781164
21.0,2769,7122.481348
19.0,2160,7210.913583
20.0,2201,7301.411279
19.0,2239,7393.112166
18.0,2252,7484.089799
19.0,2914,7603.012579
12.0,3211,7735.819722
16.0,2993,7861.616756
19.0,2793,7979.516574
18.0,2499,8083.605549
21.0,2177,8174.790605
20.0,2108,8263.011173
18.0,2122,8349.789586
21.0,2396,8449.716867
15.0,2193,8541.198477
20.0,2336,8637.987174
20.0,2071,8723.100299
20.0,2084,8809.70507
18.0,2454,8910.981455
19.0,2271,9002.700737
21.0,2278,9098.281749
20.0,2391,9193.090743
20.0,2369,9283.090576
21.0,2348,9374.000566
20.0,1996,9449.908447
21.0,2218,9535.408118
17.0,2325,9622.400231
20.0,1990,9687.709703
21.0,2329,9763.205998
21.0,2053,9831.620721
21.0,2050,9898.117612
21.0,2295,9971.693217
19.0,2151,10042.508632
