#{"t_start": 1529023471.8471816, "env_id": "PongNoFrameskip-v4"}
r,l,t
-21.0,759,33.530572
-21.0,759,60.92181
-21.0,763,88.62848
-19.0,932,122.69031
-21.0,939,157.987914
-21.0,975,193.798221
-20.0,955,229.426848
-20.0,896,262.114748
-20.0,870,294.806355
-21.0,820,325.402108
-19.0,1212,369.888589
-21.0,881,402.787347
-21.0,882,435.390464
-20.0,893,468.504807
-19.0,970,503.800058
-21.0,992,539.802464
-20.0,991,575.298069
-16.0,1462,627.811467
-17.0,1286,674.187643
-17.0,1417,725.988067
-18.0,1757,789.310896
-12.0,2205,868.890091
-14.0,2047,943.508471
-5.0,2675,1043.014114
-13.0,2028,1117.608502
2.0,3127,1230.673864
10.0,2619,1326.30252
19.0,1631,1385.008991
4.0,3227,1485.388125
20.0,2013,1547.707294
18.0,2078,1607.309328
20.0,2007,1676.59742
16.0,2253,1756.701601
16.0,1890,1818.800713
20.0,2051,1893.400953
20.0,1623,1952.612519
19.0,1696,2014.801121
19.0,1718,2077.653524
16.0,2023,2151.58606
19.0,1630,2211.00429
21.0,2055,2281.104706
19.0,2084,2352.788682
17.0,1927,2415.680693
20.0,1566,2471.600006
20.0,1561,2527.595574
19.0,1732,2581.889406
20.0,1988,2654.588746
17.0,1881,2723.60232
16.0,2111,2800.194082
17.0,1833,2867.198576
19.0,1751,2931.612583
19.0,2069,2998.397249
20.0,1996,3068.899485
15.0,2433,3152.190429
15.0,2402,3240.191733
15.0,2590,3334.806397
19.0,1754,3398.700582
15.0,2505,3490.281251
10.0,3773,3602.907425
19.0,2102,3668.310422
20.0,1806,3725.796062
20.0,2003,3789.112909
20.0,1592,3839.611652
20.0,1997,3901.709244
20.0,1582,3951.6987
19.0,2961,4045.111988
19.0,2337,4118.3188
20.0,2089,4184.486182
20.0,1562,4233.588217
20.0,1996,4295.895823
20.0,2116,4362.389915
18.0,2186,4440.999553
20.0,2102,4518.41306
19.0,2135,4597.171373
20.0,2074,4675.27936
20.0,2048,4751.410646
17.0,1881,4821.111079
18.0,2255,4905.711997
20.0,1564,4963.788236
21.0,2820,5068.814979
19.0,2125,5148.689581
20.0,2004,5223.891426
20.0,2083,5302.613417
21.0,2818,5410.688967
15.0,2495,5505.087113
21.0,2033,5581.91277
19.0,2857,5690.379486
19.0,2131,5772.175483
21.0,2820,5880.002533
18.0,3163,6001.811649
20.0,1918,6076.689461
19.0,2131,6158.997715
19.0,2213,6245.514462
16.0,2542,6345.888604
19.0,2133,6429.728466
19.0,1857,6502.295754
20.0,2792,6611.419467
20.0,2041,6691.909543
8.0,3403,6825.982988
19.0,2838,6938.093557
21.0,2785,7049.286922
19.0,2209,7138.619823
20.0,2599,7244.68893
20.0,2877,7363.59063
19.0,3039,7487.198372
8.0,3506,7629.512088
20.0,2073,7716.087837
18.0,2886,7836.599221
20.0,2723,7952.100408
20.0,2795,8069.299571
20.0,2206,8161.507288
18.0,2383,8260.721681
19.0,2469,8362.1997
17.0,2612,8471.397471
21.0,1981,8553.567753
21.0,2034,8637.285614
20.0,2068,8722.208381
20.0,2123,8810.10932
19.0,2317,8905.508269
21.0,2343,9000.979827
21.0,2034,9085.211108
20.0,2160,9172.190006
20.0,2312,9261.312903
18.0,2261,9348.915281
19.0,2164,9431.505697
21.0,2386,9523.661293
20.0,2070,9602.396491
20.0,2172,9674.685475
21.0,2320,9749.31985
20.0,2072,9818.104197
20.0,2131,9887.200091
21.0,2315,9962.78025
21.0,2352,10040.000836
