#{"t_start": 1529023483.1008673, "env_id": "PongNoFrameskip-v4"}
r,l,t
-21.0,808,36.821261
-21.0,942,74.401533
-20.0,977,112.847945
-21.0,787,143.202066
-21.0,884,174.323354
-21.0,884,207.62062
-20.0,940,241.39365
-21.0,972,277.397778
-20.0,836,309.537466
-20.0,1051,351.456859
-21.0,974,388.603573
-21.0,787,417.416094
-21.0,1057,459.530187
-20.0,1143,503.799659
-20.0,892,538.499677
-21.0,820,570.369146
-19.0,936,607.208071
-21.0,764,636.70585
-20.0,917,673.207529
-21.0,820,703.435743
-20.0,1017,743.117314
-21.0,868,778.336387
-20.0,984,816.103686
-18.0,1108,860.512828
-20.0,975,899.626711
-20.0,974,938.102297
-20.0,877,972.12145
-21.0,846,1005.503123
-21.0,959,1043.559615
-21.0,760,1072.03739
-20.0,887,1107.298979
-19.0,995,1145.753007
-21.0,823,1178.018641
-20.0,841,1211.711178
-19.0,937,1247.398603
-19.0,942,1284.521688
-19.0,1052,1324.41547
-20.0,959,1362.71942
-21.0,851,1396.303068
-19.0,1128,1441.400451
-20.0,894,1476.222363
-21.0,993,1515.300773
-21.0,942,1551.202952
-21.0,1018,1590.623688
-21.0,913,1627.999104
-20.0,918,1663.62456
-21.0,819,1696.219028
-21.0,817,1729.515276
-19.0,1002,1769.300254
-20.0,942,1807.997696
-19.0,960,1846.99812
-21.0,839,1879.7321
-20.0,917,1916.376107
-19.0,1132,1960.213763
-21.0,909,1997.308358
-21.0,817,2029.711913
-20.0,918,2066.100834
-21.0,1004,2105.918862
-21.0,819,2139.902678
-21.0,908,2174.093329
-21.0,1063,2214.414595
-21.0,956,2252.491233
-21.0,781,2284.014522
-20.0,897,2319.810624
-20.0,959,2356.251571
-19.0,1146,2402.410666
-19.0,954,2440.71932
-21.0,869,2475.006831
-20.0,835,2508.199093
-21.0,805,2540.791997
-21.0,820,2572.902144
-21.0,884,2609.008779
-20.0,897,2645.222163
-19.0,969,2684.802914
-20.0,901,2718.135689
-21.0,880,2750.801148
-19.0,1009,2790.120279
-20.0,1004,2831.902801
-21.0,929,2871.489717
-20.0,899,2908.224746
-21.0,1021,2950.913854
-19.0,1219,3002.208644
-21.0,822,3036.524757
-21.0,847,3072.535384
-20.0,895,3107.421558
-20.0,962,3147.32583
-20.0,973,3188.590069
-20.0,917,3226.2249
-21.0,821,3260.692904
-19.0,982,3302.394776
-21.0,988,3345.500738
-21.0,876,3385.010565
-20.0,896,3422.990194
-20.0,933,3464.824393
-20.0,870,3502.399195
-21.0,937,3546.590022
-18.0,1162,3600.000801
-20.0,919,3642.098352
-20.0,1091,3695.21416
-20.0,1119,3748.05124
-20.0,948,3794.208623
-19.0,970,3843.002259
-21.0,852,3883.752562
-20.0,953,3931.396648
-21.0,780,3966.009522
-20.0,930,4007.685191
-19.0,980,4057.544118
-20.0,942,4107.757864
-19.0,1097,4164.411884
-20.0,866,4212.625872
-19.0,1013,4261.608082
-20.0,869,4304.811664
-20.0,953,4354.397716
-21.0,848,4396.835454
-20.0,862,4440.802306
-20.0,880,4489.117305
-20.0,995,4540.724828
-21.0,935,4587.417087
-21.0,852,4636.213998
-18.0,1230,4700.709023
-20.0,1178,4764.324913
-20.0,1008,4815.824928
-20.0,950,4863.595449
-21.0,776,4903.539766
-20.0,1170,4964.52452
-20.0,869,5008.09917
-21.0,818,5053.011986
-20.0,881,5095.320347
-20.0,835,5136.1987
-21.0,1050,5186.799439
-19.0,961,5234.523759
-20.0,1023,5287.810236
-20.0,936,5335.011224
