#{"t_start": 1529028947.243258, "env_id": "HalfCheetah-v2"}
r,l,t
-788.542803,1000,70.304387
-252.252285,1000,133.22264
27.491004,1000,195.633866
330.344433,1000,259.22736
535.403483,1000,322.720873
421.481786,1000,383.079534
876.931908,1000,445.01186
1382.225535,1000,516.584575
1659.546665,1000,586.535892
1683.30143,1000,658.138472
2237.564186,1000,727.683464
216.46878,1000,796.60383
435.672008,1000,865.657954
284.342766,1000,934.848651
2003.938272,1000,1003.097669
2377.980659,1000,1071.410476
2471.659543,1000,1138.993715
2407.462411,1000,1207.864361
2607.392506,1000,1277.978142
2667.606717,1000,1347.002762
2668.503633,1000,1416.124517
3272.040227,1000,1487.089936
2285.448691,1000,1558.179558
624.864114,1000,1631.454067
2801.344725,1000,1703.115471
2907.907559,1000,1774.3559
2865.355372,1000,1844.279412
1651.662775,1000,1915.965652
2725.744436,1000,1985.296916
4.946919,1000,2056.406847
-643.803407,1000,2127.501211
1288.375318,1000,2199.001748
884.639621,1000,2271.104866
2453.68895,1000,2342.508018
514.720453,1000,2414.300634
1992.160393,1000,2486.559763
2858.806443,1000,2558.211908
3316.062044,1000,2627.488718
-213.285016,1000,2697.490916
1449.212795,1000,2769.267993
1677.031282,1000,2841.740923
1851.829943,1000,2913.898741
2379.596988,1000,2986.364031
2717.2957,1000,3059.251778
2842.444453,1000,3131.610952
3116.424551,1000,3203.392124
2406.807341,1000,3277.554324
-924.979006,1000,3348.752249
2447.930462,1000,3420.632699
29.860051,1000,3492.867754
2234.488969,1000,3563.161342
1152.163385,1000,3633.122899
2570.841389,1000,3701.172571
2382.249587,1000,3769.685998
214.406201,1000,3838.713493
2904.35844,1000,3907.062636
3097.192703,1000,3976.010943
2748.916167,1000,4045.002154
82.194042,1000,4114.890899
2375.534402,1000,4185.485365
895.084125,1000,4254.340897
377.415126,1000,4323.692704
1161.543404,1000,4393.172206
-118.892344,1000,4462.084517
1227.112218,1000,4531.316103
286.445897,1000,4601.773195
